,Unnamed: 0,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description
96,107,3102762-(2002 AA29),False,40.2304579834,89.9580388169,1995-01-17 00:00:00.000000,1970-01-01 00:13:10.310760,earth,12.9913363165,46768.8107394954, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
97,108,3956448-(2019 YP3),False,19.2555078188,43.0566244241,1995-01-17 00:00:00.000000,1970-01-01 00:13:10.355280,earth,17.2344315811,62043.9536918491, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
98,110,2373579-373579 (2002 AW11),False,483.6764882185,1081.533506775,1995-01-21 00:00:00.000000,1970-01-01 00:13:10.674900,earth,14.0998903803,50759.6053691574, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
99,111,3843085-(2019 NG),False,36.6906137531,82.0427064882,1995-01-21 00:00:00.000000,1970-01-01 00:13:10.654860,earth,7.532718152,27117.7853473052, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
100,112,3788091-(2017 UR7),False,319.5618867213,714.5621017269,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.759920,earth,16.8844014801,60783.8453284741, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
101,113,3794988-(2017 YZ1),True,221.0828103591,494.3561926196,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.751640,earth,11.6741465305,42026.9275099544, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
102,114,2153315-153315 (2001 NH6),False,319.5618867213,714.5621017269,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.787820,earth,24.4218373587,87918.6144913344, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
103,115,2162463-162463 (2000 JH5),False,766.5755735311,1714.1150923063,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.779960,earth,17.3737842613,62545.6233405623, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
104,117,3444370-(2009 BH2),False,88.0146520901,196.8067450894,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.777020,earth,22.3739049599,80546.0578557412,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
105,118,3448992-(2009 DD45),False,18.388867207,41.1187571041,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.756380,earth,17.2746114639,62188.6012700346,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
106,119,3611400-(2012 UC),False,26.58,59.4346868419,1995-01-22 00:00:00.000000,1970-01-01 00:13:10.783440,earth,12.1185099373,43626.6357742159, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
